LCR	DESC	DATETIME	NO	LOCATION
71A	Traffic/DWI (Driving While Impaired)	10/24/2015 3:00	P15059118	"(35.741897200395314, -78.62357477914723)"
71A	Traffic/DWI (Driving While Impaired)	10/24/2015 0:17	P15059092	"(35.793052607620076, -78.64707948926694)"
71A	Traffic/DWI (Driving While Impaired)	10/23/2015 23:28	P15059082	"(35.797066527859556, -78.57789833162306)"
71A	Traffic/DWI (Driving While Impaired)	10/23/2015 22:35	P15059077	"(35.790352111178755, -78.66149207121245)"
71A	Traffic/DWI (Driving While Impaired)	10/23/2015 20:23	P15059076	"(35.7885629460537, -78.6133225304591)"
71A	Traffic/DWI (Driving While Impaired)	10/23/2015 2:07	P15058869	"(35.81119585981637, -78.61155621870786)"
71A	Traffic/DWI (Driving While Impaired)	10/23/2015 0:16	P15058859	"(35.801571345226314, -78.67574696909027)"
71A	Traffic/DWI (Driving While Impaired)	10/22/2015 0:41	P15058646	"(35.789198076133516, -78.66890422892826)"
71A	Traffic/DWI (Driving While Impaired)	10/21/2015 8:36	P15058472	"(35.89019856932741, -78.67959287044859)"
71A	Traffic/DWI (Driving While Impaired)	10/21/2015 4:29	P15058441	"(35.775887766440306, -78.69205698256545)"
71A	Traffic/DWI (Driving While Impaired)	10/21/2015 1:18	P15058438	"(35.90267269708415, -78.68102768423248)"
71A	Traffic/DWI (Driving While Impaired)	10/20/2015 23:57	P15058430	"(35.75305488676343, -78.65009430643859)"
71A	Traffic/DWI (Driving While Impaired)	10/20/2015 23:28	P15058423	"(35.78170175781026, -78.64721058295108)"
71A	Traffic/DWI (Driving While Impaired)	10/20/2015 1:48	P15058217	"(35.749863339174695, -78.71288585164669)"
71A	Traffic/DWI (Driving While Impaired)	10/19/2015 23:24	P15058213	"(35.747911041601874, -78.65818468751539)"
71A	Traffic/DWI (Driving While Impaired)	10/19/2015 2:29	P15057976	"(35.85512764831483, -78.59971851469142)"
71A	Traffic/DWI (Driving While Impaired)	10/18/2015 22:39	P15057952	"(35.84367697351048, -78.57270169725643)"
71A	Traffic/DWI (Driving While Impaired)	10/18/2015 19:21	P15057933	"(35.78582958838198, -78.72288764633157)"
71A	Traffic/DWI (Driving While Impaired)	10/18/2015 11:46	P15057866	"(35.941007434147295, -78.56797303107741)"
71A	Traffic/DWI (Driving While Impaired)	10/18/2015 5:05	P15057838	"(35.8311782779283, -78.57152459335879)"
71A	Traffic/DWI (Driving While Impaired)	10/18/2015 3:29	P15057829	"(35.793723269472025, -78.5830586261618)"
71A	Traffic/DWI (Driving While Impaired)	10/18/2015 2:48	P15057837	"(35.77888937451868, -78.63948973410845)"
71A	Traffic/DWI (Driving While Impaired)	10/18/2015 2:03	P15057830	"(35.8307272788811, -78.57792673808864)"
